1,47 MySakila Drive,\N,Alberta,300,,,02/15/06 09:45 AM
2,28 MySQL Boulevard,\N,QLD,576,,,02/15/06 09:45 AM
3,23 Workhaven Lane,\N,Alberta,300,,14033335568,02/15/06 09:45 AM
4,1411 Lillydale Drive,\N,QLD,576,,6172235589,02/15/06 09:45 AM
5,1913 Hanoi Way,,Nagasaki,463,35200,28303384290,02/15/06 09:45 AM
6,1121 Loja Avenue,,California,449,17886,838635286649,02/15/06 09:45 AM
7,692 Joliet Street,,Attika,38,83579,448477190408,02/15/06 09:45 AM
8,1566 Inegl Manor,,Mandalay,349,53561,705814003527,02/15/06 09:45 AM
9,53 Idfu Parkway,,Nantou,361,42399,10655648674,02/15/06 09:45 AM
10,1795 Santiago de Compostela Way,,Texas,295,18743,860452626434,02/15/06 09:45 AM
11,900 Santiago de Compostela Parkway,,Central Serbia,280,93896,716571220373,02/15/06 09:45 AM
12,478 Joliet Way,,Hamilton,200,77948,657282285970,02/15/06 09:45 AM
13,613 Korolev Drive,,Masqat,329,45844,380657522649,02/15/06 09:45 AM
14,1531 Sal Drive,,Esfahan,162,53628,648856936185,02/15/06 09:45 AM
15,1542 Tarlac Parkway,,Kanagawa,440,1027,635297277345,02/15/06 09:45 AM
16,808 Bhopal Manor,,Haryana,582,10672,465887807014,02/15/06 09:45 AM
17,270 Amroha Parkway,,Osmaniye,384,29610,695479687538,02/15/06 09:45 AM
18,770 Bydgoszcz Avenue,,California,120,16266,517338314235,02/15/06 09:45 AM
19,419 Iligan Lane,,Madhya Pradesh,76,72878,990911107354,02/15/06 09:45 AM
20,360 Toulouse Parkway,,England,495,54308,949312333307,02/15/06 09:45 AM
21,270 Toulon Boulevard,,Kalmykia,156,81766,407752414682,02/15/06 09:45 AM
22,320 Brest Avenue,,Kaduna,252,43331,747791594069,02/15/06 09:45 AM
23,1417 Lancaster Avenue,,Northern Cape,267,72192,272572357893,02/15/06 09:45 AM
24,1688 Okara Way,,Nothwest Border Prov,327,21954,144453869132,02/15/06 09:45 AM
25,262 A Corua (La Corua) Parkway,,Dhaka,525,34418,892775750063,02/15/06 09:45 AM
26,28 Charlotte Amalie Street,,Rabat-Sal-Zammour-Z,443,37551,161968374323,02/15/06 09:45 AM
27,1780 Hino Boulevard,,Liepaja,303,7716,902731229323,02/15/06 09:45 AM
28,96 Tafuna Way,,Crdoba,128,99865,934730187245,02/15/06 09:45 AM
29,934 San Felipe de Puerto Plata Street,,Sind,472,99780,196495945706,02/15/06 09:45 AM
30,18 Duisburg Boulevard,,,121,58327,998009777982,02/15/06 09:45 AM
31,217 Botshabelo Place,,Southern Mindanao,138,49521,665356572025,02/15/06 09:45 AM
32,1425 Shikarpur Manor,,Bihar,346,65599,678220867005,02/15/06 09:45 AM
33,786 Aurora Avenue,,Yamaguchi,474,65750,18461860151,02/15/06 09:45 AM
34,1668 Anpolis Street,,Taipei,316,50199,525255540978,02/15/06 09:45 AM
35,33 Gorontalo Way,,West Bengali,257,30348,745994947458,02/15/06 09:45 AM
36,176 Mandaluyong Place,,Uttar Pradesh,239,65213,627705991774,02/15/06 09:45 AM
37,127 Purnea (Purnia) Manor,,Piemonte,17,79388,911872220378,02/15/06 09:45 AM
38,61 Tama Street,,Okayama,284,94065,708403338270,02/15/06 09:45 AM
39,391 Callao Drive,,Midi-Pyrnes,544,34021,440512153169,02/15/06 09:45 AM
40,334 Munger (Monghyr) Lane,,Markazi,31,38145,481183273622,02/15/06 09:45 AM
41,1440 Fukuyama Loop,,Henan,362,47929,912257250465,02/15/06 09:45 AM
42,269 Cam Ranh Parkway,,Chisinau,115,34689,489783829737,02/15/06 09:45 AM
43,306 Antofagasta Place,,Esprito Santo,569,3989,378318851631,02/15/06 09:45 AM
44,671 Graz Street,,Oriental,353,94399,680768868518,02/15/06 09:45 AM
45,42 Brindisi Place,,Yerevan,586,16744,42384721397,02/15/06 09:45 AM
46,1632 Bislig Avenue,,Nonthaburi,394,61117,471675840679,02/15/06 09:45 AM
47,1447 Imus Way,,Tahiti,167,48942,539758313890,02/15/06 09:45 AM
48,1998 Halifax Drive,,Lipetsk,308,76022,177727722820,02/15/06 09:45 AM
49,1718 Valencia Street,,Antofagasta,27,37359,675292816413,02/15/06 09:45 AM
50,46 Pjatigorsk Lane,,Moscow (City),343,23616,262076994845,02/15/06 09:45 AM
51,686 Garland Manor,,Cear,247,52535,69493378813,02/15/06 09:45 AM
52,909 Garland Manor,,Tatarstan,367,69367,705800322606,02/15/06 09:45 AM
53,725 Isesaki Place,,Mekka,237,74428,876295323994,02/15/06 09:45 AM
54,115 Hidalgo Parkway,,Khartum,379,80168,307703950263,02/15/06 09:45 AM
55,1135 Izumisano Parkway,,California,171,48150,171822533480,02/15/06 09:45 AM
56,939 Probolinggo Loop,,Galicia,1,4166,680428310138,02/15/06 09:45 AM
57,17 Kabul Boulevard,,Chiba,355,38594,697760867968,02/15/06 09:45 AM
58,1964 Allappuzha (Alleppey) Street,,Yamaguchi,227,48980,920811325222,02/15/06 09:45 AM
59,1697 Kowloon and New Kowloon Loop,,Moskova,49,57807,499352017190,02/15/06 09:45 AM
60,1668 Saint Louis Place,,Tahiti,397,39072,347487831378,02/15/06 09:45 AM
